"","Think_well","Live_well","Feel_well"
"BM000737","8","7","8"
"BM000738","1","6","1"
"BM000739","4","4","2"
"BM000740","8","5","8"
"BM000741","2","4","1"
"BM000742","1","3","1"
"BM000743","7","6","8"
"BM000744","8","5","7"
"BM000745","8","7","7"
"BM000746","8","7","7"
"BM000747","5","4","5"
"BM000748","7","5","7"
"BM000749","7","7","5"
"BM000750","10"," 6"," 7"
"BM000751","2","5","2"
"BM000752","8","5","5"
"BM000753","7","6","8"
"BM000754","7","5","7"
"BM000755","2","5","1"
"BM000756","8","6","8"
"BM000757","1","5","1"
"BM000758","8","5","5"
"BM000759","5","4","7"
"BM000760","4","3","2"
"BM000761","7","5","7"
"BM000762","8","7","8"
"BM000763","5","4","7"
"BM000764","1","5","1"
"BM000765","7","9","7"
"BM000766","7","6","7"
"BM000767","7","6","5"
"BM000768","8","6","7"
"BM000769","1","3","1"
"BM000770","5","8","7"
"BM000771","5","6","5"
"BM000772","7","7","5"
"BM000773","1","5","1"
"BM000774","1","4","1"
"BM000775","8","4","7"
"BM000776","1","7","2"
"BM000777","8","7","7"
"BM000778","8","5","8"
"BM000779","7","8","8"
"BM000780","7","9","7"
"BM000781","1","4","2"
"BM000782","7","6","5"
"BM000783","7","5","7"
"BM000784","1","5","2"
"BM000785","8","6","8"
"BM000786","7","7","7"
"BM000787","1","3","2"
"BM000788","8","7","8"
"BM000789","4","6","7"
"BM000790","1","4","2"
"BM000791","7","6","8"
"BM000792","7","7","7"
"BM000793","1","4","1"
"BM000794","7","6","5"
"BM000795","8","6","7"
"BM000796","1","4","1"
"BM000797","8","6","7"
"BM000798","8","7","5"
"BM000799","10"," 8"," 7"
"BM000800","7","9","5"
"BM000801","2","6","1"
"BM000802","4","6","4"
"BM000803","7","7","8"
"BM000804","10"," 8"," 8"
"BM000805","4","8","2"
"BM000806","8","9","7"
"BM000807","7","7","7"
"BM000808","8","8","7"
"BM000809","10"," 9"," 8"
"BM000810","8","7","7"
"BM000811","10"," 7"," 7"
"BM000812","10"," 7"," 8"
"BM000813","5","7","7"
"BM000814","4","7","4"
"BM000815","4","5","2"
"BM000816","5","5","7"
"BM000817","5","6","4"
"BM000818","5","5","5"
"BM000819","8","6","7"
"BM000890","7","6","7"
"BM000891","1","5","1"
"BM000892","8","6","7"
"BM000893","1","4","1"
"BM000894","8","9","7"
"BM000895","7","6","5"
"BM000896","5","6","5"
"BM000897","2","4","1"
"BM000898","8","5","8"
"BM000899","7","5","8"
"BM000900","8","6","8"
"BM000901","2","9","5"
"BM000902","2","6","4"
